epoch,BIoU,acc,loss,val_BIoU,val_acc,val_loss
0,0.3767589032649994,0.7918108105659485,0.45418402552604675,0.20904679596424103,0.5862611532211304,0.757465124130249
1,0.4158448278903961,0.8455005288124084,0.3421425223350525,0.2283555269241333,0.25399020314216614,1.4408671855926514
2,0.41992294788360596,0.8461739420890808,0.3354472815990448,0.21114906668663025,0.4034684896469116,0.9771246910095215
3,0.44554078578948975,0.8553968667984009,0.3191370666027069,0.23041702806949615,0.29640892148017883,1.423659324645996
4,0.45677387714385986,0.8504228591918945,0.3265003263950348,0.2263021320104599,0.3199320435523987,1.36415696144104
5,0.4726814329624176,0.8551773428916931,0.31769704818725586,0.22691085934638977,0.3187686502933502,1.7819010019302368
6,0.4757239520549774,0.864208459854126,0.2992880344390869,0.23364949226379395,0.39488935470581055,1.556713581085205
7,0.4588719308376312,0.8585547804832458,0.3126785159111023,0.20396097004413605,0.6523943543434143,0.7783790826797485
8,0.4518755078315735,0.8629042506217957,0.3042853772640228,0.2898578643798828,0.6211221814155579,0.9743503928184509
9,0.4744691550731659,0.8596681952476501,0.31348732113838196,0.285305380821228,0.7269577383995056,0.6598631739616394
10,0.4256610572338104,0.8377321362495422,0.35797375440597534,0.32039177417755127,0.6864850521087646,0.7136917114257812
11,0.4273865818977356,0.8464276790618896,0.3383430242538452,0.2854340374469757,0.41714397072792053,1.8515703678131104
12,0.4517250061035156,0.8620661497116089,0.30711108446121216,0.31185653805732727,0.5711215138435364,0.9246625900268555
13,0.4663350582122803,0.8591591715812683,0.3132653832435608,0.30679798126220703,0.4896118640899658,1.153791904449463
14,0.4629874527454376,0.8652955293655396,0.2999013364315033,0.37097400426864624,0.7372016310691833,0.4994239807128906
15,0.46979784965515137,0.8692724704742432,0.29043546319007874,0.38920119404792786,0.7573106288909912,0.46646809577941895
16,0.48489809036254883,0.8654336333274841,0.3006100058555603,0.431575208902359,0.8298974633216858,0.3552686274051666
17,0.48940202593803406,0.8689668774604797,0.2896546423435211,0.45757636427879333,0.8189852237701416,0.36697566509246826
18,0.5013673305511475,0.8757913112640381,0.277024507522583,0.4920514225959778,0.8645806312561035,0.2979297339916229
19,0.5159350633621216,0.8794846534729004,0.2715628445148468,0.5087883472442627,0.8703383803367615,0.2870137095451355
20,0.4992189109325409,0.8771474957466125,0.2690012454986572,0.5035721063613892,0.860072672367096,0.3029216229915619
21,0.5124025940895081,0.8764249682426453,0.27636080980300903,0.5137408375740051,0.8820495009422302,0.26643380522727966
22,0.5103676319122314,0.8687874674797058,0.2885952293872833,0.510832667350769,0.8839911818504333,0.2617999017238617
23,0.5063981413841248,0.8812658190727234,0.2653310000896454,0.5204058289527893,0.885359525680542,0.26008784770965576
24,0.5169268846511841,0.8832479119300842,0.2614487409591675,0.5218324661254883,0.88539057970047,0.2586551308631897
25,0.5217423439025879,0.8810057640075684,0.2651735842227936,0.5216066241264343,0.8785389065742493,0.27115103602409363
26,0.5388657450675964,0.8813441395759583,0.262317419052124,0.5207054615020752,0.8843971490859985,0.26044511795043945
27,0.5451125502586365,0.887864887714386,0.25139304995536804,0.526311993598938,0.8868329524993896,0.2552068829536438
28,0.5169251561164856,0.8832169771194458,0.262317955493927,0.5404390096664429,0.8862842321395874,0.25549769401550293
29,0.5274077653884888,0.8786184787750244,0.26663938164711,0.5287313461303711,0.8881340622901917,0.2510160207748413
30,0.5321820378303528,0.8832787871360779,0.2620480954647064,0.5374130010604858,0.8883867859840393,0.25226378440856934
31,0.5412947535514832,0.8833809494972229,0.2601497769355774,0.5414407849311829,0.8900493383407593,0.24770045280456543
32,0.5363068580627441,0.8860910534858704,0.2525229752063751,0.5251190066337585,0.8926629424095154,0.2445022314786911
33,0.5371221899986267,0.8896664381027222,0.24589255452156067,0.5281281471252441,0.8880642652511597,0.2526402771472931
34,0.5438279509544373,0.8906767964363098,0.24674522876739502,0.5515867471694946,0.8919792771339417,0.24611513316631317
35,0.5425417423248291,0.8888576030731201,0.250021755695343,0.5405185222625732,0.8918826580047607,0.24462462961673737
36,0.5460962653160095,0.8901304006576538,0.2482331097126007,0.5513143539428711,0.8928965926170349,0.24265676736831665
37,0.5426427125930786,0.8840831518173218,0.25468432903289795,0.5453963875770569,0.8890365958213806,0.24952132999897003
38,0.5485296845436096,0.887656569480896,0.2513297200202942,0.542048454284668,0.8940299153327942,0.2415323555469513
39,0.5507127046585083,0.890340268611908,0.24137136340141296,0.5489576458930969,0.8907822370529175,0.24550677835941315
40,0.5523329377174377,0.8936463594436646,0.23982881009578705,0.5510784983634949,0.8936519622802734,0.24083147943019867
41,0.5511078238487244,0.8907736539840698,0.24452729523181915,0.5606231093406677,0.8912506103515625,0.24357502162456512
42,0.5512895584106445,0.8894820809364319,0.2466101050376892,0.5427341461181641,0.8934743404388428,0.24127309024333954
43,0.5667476654052734,0.8945651650428772,0.23466962575912476,0.5424823760986328,0.8951572775840759,0.2403501719236374
44,0.5655311942100525,0.8909397125244141,0.2466506063938141,0.5629051923751831,0.8945565819740295,0.2379666119813919
45,0.5459301471710205,0.8912283778190613,0.2423204630613327,0.5506481528282166,0.8937731981277466,0.23832476139068604
46,0.5580129027366638,0.8919481039047241,0.24225924909114838,0.5625890493392944,0.8890690803527832,0.24862384796142578
47,0.5854763388633728,0.8942453861236572,0.238002210855484,0.5665689706802368,0.8952069878578186,0.23802033066749573
