epoch,BIoU,acc,loss,val_BIoU,val_acc,val_loss
0,0.2936294376850128,0.93056720495224,0.18756572902202606,0.14676907658576965,0.8365719318389893,0.42288559675216675
1,0.36567118763923645,0.9515020251274109,0.12200815230607986,0.3035089075565338,0.8861532211303711,0.2623988389968872
2,0.36761704087257385,0.9523828625679016,0.12031249701976776,0.3909325897693634,0.906522274017334,0.22861731052398682
3,0.4056392312049866,0.9568271636962891,0.10946374386548996,0.5161051154136658,0.9459940791130066,0.12934887409210205
4,0.3889315724372864,0.9552544355392456,0.11229725182056427,0.5926775932312012,0.9322154521942139,0.1551884561777115
5,0.3969026803970337,0.9558407068252563,0.11255716532468796,0.5764607787132263,0.9586300849914551,0.10683443397283554
6,0.4100618362426758,0.9578083157539368,0.10895591974258423,0.5961466431617737,0.9585587978363037,0.09798039495944977
7,0.4088359475135803,0.9587775468826294,0.10523025691509247,0.5625452399253845,0.9467641711235046,0.12294838577508926
8,0.43614983558654785,0.9613136649131775,0.09629619121551514,0.539971649646759,0.946571946144104,0.13495494425296783
9,0.3863550126552582,0.960493266582489,0.09801328182220459,0.5690297484397888,0.9622949361801147,0.10422856360673904
10,0.39874890446662903,0.9596899151802063,0.10400769114494324,0.6121591329574585,0.9563140869140625,0.10621494054794312
11,0.41256022453308105,0.9591349363327026,0.09930504113435745,0.6453295350074768,0.9640406966209412,0.09126731753349304
12,0.4531959295272827,0.964120626449585,0.08702679723501205,0.6550496816635132,0.9677380919456482,0.08164676278829575
13,0.4171856641769409,0.9628558158874512,0.08853179216384888,0.6644678711891174,0.9697913527488708,0.08002578467130661
14,0.40337273478507996,0.9657126665115356,0.08237849920988083,0.6588134169578552,0.9700908064842224,0.07797358930110931
15,0.45533058047294617,0.9622212052345276,0.09611251950263977,0.6555253863334656,0.9711460471153259,0.07419130951166153
16,0.47471585869789124,0.9626598954200745,0.09253532439470291,0.6585080027580261,0.970821738243103,0.07519403100013733
17,0.46820178627967834,0.9649354219436646,0.08675763756036758,0.6609651446342468,0.9718560576438904,0.07267321646213531
18,0.46713411808013916,0.9651986360549927,0.08322227001190186,0.6605488657951355,0.9724854826927185,0.07286809384822845
19,0.4721883237361908,0.9670601487159729,0.08338991552591324,0.6862936615943909,0.9739787578582764,0.06890714913606644
20,0.47372183203697205,0.9636808633804321,0.08715049177408218,0.6525585055351257,0.9670390486717224,0.09243150055408478
21,0.4629429578781128,0.9668266177177429,0.08064012229442596,0.663855791091919,0.9695906043052673,0.08127453178167343
22,0.4825974702835083,0.9664085507392883,0.0826629251241684,0.6600747108459473,0.9726091027259827,0.07032343000173569
23,0.4696570634841919,0.968612015247345,0.07639676332473755,0.655221700668335,0.9729301333427429,0.07319086790084839
24,0.48923271894454956,0.9669054746627808,0.0787925198674202,0.6953349113464355,0.9745700359344482,0.06849721819162369
25,0.4855017364025116,0.9691423177719116,0.07407528907060623,0.6719130873680115,0.9716219902038574,0.07630379498004913
26,0.4657990336418152,0.9660986661911011,0.08079575002193451,0.6590319275856018,0.9710681438446045,0.07960251718759537
27,0.48923203349113464,0.9667481184005737,0.0821932777762413,0.6806262731552124,0.9699421525001526,0.07882668823003769
